"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"mye_3","MALAT1","B2M","FTH1","FTL","ACTB","SRGN","FOS","VIM","TSC22D3","DUSP1","JUNB","SH3BGRL3","OAZ1","S100A4","RGS1","TYROBP","CALM2","NFKBIA","JUN","DDX5","ZFP36","FCER1G","CLIC1","SAT1","ARHGDIB","IER2","NEAT1","S100A11","FXYD5","FOSB","ALOX5AP","CYBA","ANXA1","GSTP1","VAMP8","COX7A2","LAPTM5","HMGN1","CAPG","RGS2","KLF6","GLUL","COX6C","CD37","EIF4A2","DBI","TUBA1B","TAGLN2","BTG2","SPCS1"
"mye_4","YWHAH","PDIA4","PSMA4","MMP14","CALU","MDH1","CORO1C","SLC7A7","ACTN1","CYFIP1","SLC16A3","SDF2L1","EFHD2","TUBA1C","PSMC2","PLA2G7","CCT5","PDXK","SCPEP1","ATP6V1A","SLC31A1","SPPL2A","IDH1","FABP5","SPRED1","C3AR1","NAA20","MNDA","SIRPA","CD47","BLOC1S1","NRP1","MANF","TXNDC17","NDUFA13","LYN","SLC43A3","PLEKHB2","ARPC4","PSMA1","LIMS1","IGSF6","CACYBP","SCARB2","C1QBP","RAB10","PAPSS1","CNDP2","GNB4","CEBPB"
"mye_5","CNN2","LSP1","EIF3L","HLA.DQA1","SYNGR2","HLA.DMA","EIF3F","HLA.DQB1","HLA.DRB5","UCP2","REL","CTSH","SPINT2","CORO1A","RBM3","PHB2","HCLS1","GPSM3","DBNL","GSN","HLA.DMB","RHOG","PSMB9","WDR1","HLA.DPB1","STK4","CAPZB","PRRC2C","NDUFV2","AKAP13","RBM39","CYTIP","BID","CFLAR","SAMHD1","VDAC2","ITGB2","RAN","PKM","RGS10","HNRNPF","SERPINB1","STK17B","PRR13","CCDC88A","HLA.DPA1","POLR2E","LSM7","LCP1","UXT"
"mye_6","FCGR3A","CYBB","LAP3","FPR3","TGFBI","CTSH","YWHAH","CAPG","SERPINA1","C15orf48","FBP1","CD14","ANXA2","PSMA4","HCST","CTSC","TSPO","C1orf162","ACP5","IFI6","STAT1","S100A8","PSMB3","VAMP8","TUBA1B","GLIPR2","SAMHD1","LILRB4","MS4A7","KCTD12","S100A9","HLA.DMA","FABP5","SNX10","CD86","CD68","LGALS3","ITGB2","IFI30","SLC16A3","PKM","ATP1B3","BLOC1S1","SPI1","PYCARD","MAFB","PRELID1","RAN","LIMS1","OLR1"
"mye_7","CLEC10A","AOAH","CD1D","LILRB2","CSTA","CSF1R","DOK2","FPR1","CPVL","LILRB1","AREG","ALDH2","SORL1","CD300A","PID1","C20orf27","LILRA5","LIMD2","CNPY3","LILRB3","CEACAM4","SCIMP","PILRA","PSMB8","CD33","PHB2","DPYD","LAT2","YIF1B","PLXDC2","THEMIS2","GIMAP4","APEX1","PSMB10","WAS","PSTPIP2","GLRX","ALOX5","MPHOSPH6","RCSD1","ITGA4","GAPT","POLR2E","AMPD2","EIF3L","ZNF385A","STX10","SSH2","FBP1","TBXAS1"
"mye_8","GPNMB","APOE","RNASE1","NUPR1","APOC1","CCL18","ARL4C","MMP14","GPX3","C2","LHFPL2","CD9","MSR1","KCNMA1","TSC22D1","LGMN","C1QB","C1QC","SDC3","SLC16A10","SCD","SLCO2B1","TIMP2","GM2A","C1QA","TFRC","PLTP","PLAU","A2M","ADAMDEC1","VMO1","FPR3","NPL","GPR137B","TTYH3","ACP5","TREM2","CD84","SGPL1","PMP22","NRP2","BMP2K","CTSL","C1orf54","ABCA1","SPP1","DAB2","MMP12","FMNL2","FCGR3A"
"mye_9","CEP170","MAP3K2","ZSWIM6","SETX","NIPBL","SKIL","TET2","BOD1L1","ACSL4","VPS13C","DICER1","ZNF207","PJA2","ADAM10","RSRP1","CCDC88A","PUM1","METRNL","IRAK3","TRPS1","EP300","PHIP","PTBP3","SLC44A1","DIAPH1","FAM133B","BCLAF1","FAM120A","PHC2","DYNC1H1","INTS6","BACH1","EMILIN2","GPRIN3","PPP1R12A","MALT1","KMT2C","USP3","ROCK1","HOOK3","ATXN1","STAG2","ARID1B","MYADM","CMIP","JARID2","CEP350","ETV6","TRIM38","SIPA1L1"
"mye_10","TCN2","GAL3ST4","IGFLR1","TMEM37","ADAMDEC1","KCNMA1","IL18BP","PSMB10","SERPINF1","HSD17B14","CD38","RAB20","NR1H3","UBE2L6","IFI30","EPSTI1","IL2RA","CARD16","PLA2G7","ENPP2","OLFML3","SIGLEC10","KLHDC8B","CASP1","SMPDL3A","GLMP","HLA.F","NPL","POLD4","GIMAP4","TNFRSF14","CLEC4A","TMEM86A","ABI3","IL18","SDSL","TSPAN15","MGAT4A","RENBP","OTOA","LGALS3BP","CCL4L2","CRYL1","CD300A","PLBD1","ACP2","MPP1","BLVRA","SIGLEC12","STAC3"
"mye_11","FBP1","CYP27A1","GCHFR","SLC11A1","SPP1","PLP2","TREM1","OLR1","TNFSF13","TREM2","OSCAR","MARCO","CD82","GLIPR2","CD151","LTA4H","HK3","ITGAM","C15orf48","SCCPDH","HSD3B7","FN1","TGM2","FLNA","CCL2","TMBIM1","PDLIM7","NUPR1","ANPEP","UPP1","CSRP1","FGR","RMDN3","ACOT13","CYSTM1","HCFC1R1","BST1","MRC1","ITGAX","ANXA4","LILRA6","CCL18","COLEC12","AGTRAP","PCK2","FABP3","MFSD10","CLEC5A","GLMP","AQP9"
"mye_12","SLC40A1","PDK4","IGF1","CD163L1","MAF","CD209","WWP1","RGL1","DUSP6","SMAP2","GPR34","CD302","KLF2","METTL7A","AHR","DNASE1L3","FRMD4B","FKBP5","LPAR6","P2RY13","TGFBR2","GPR155","UTRN","ADAM28","SESN1","SRGAP1","OGFRL1","KLF9","SIGLEC1","ITPR2","ATM","MERTK","MEF2C","CPM","TCF4","AXL","CLEC10A","ZFHX3","LILRB5","FNBP1","GAS7","FOXO3","SH2B3","GCLC","ADORA3","PDGFC","CXCL12","GFRA2","FCHO2","IL13RA1"
"mye_13","MMP12","DNASE1L3","ITGB7","ITM2C","ABI3","S100B","NRG1","P2RY6","AXL","CAMK1","GIMAP7","ENPP2","ADAMDEC1","HES1","FAM110A","SLC40A1","P2RY13","AOAH","CHCHD10","CLTB","HIC1","SIGLEC12","GPR35","GIMAP1","TNFAIP8L2","SLAMF7","MMP9","GCLC","MARCKSL1","PTMS","PRKCA","GPR160","CRELD2","LACC1","PSENEN","LPAR6","PARL","RGS18","CD36","C1orf54","NAA10","GPR82","SIGLEC10","EBI3","IGHA1","GSTM4","KCNK6","RUNX3","NINJ2","CD1D"
"mye_14","TPSAB1","CPA3","TPSB2","KIT","IL1RL1","GATA2","CLU","MS4A2","HPGDS","SLC18A2","HDC","VWA5A","AREG","ALOX5","AKAP13","RAC2","SLC2A3","LTC4S","RHOH","HPGD","CNRIP1","CD9","SQSTM1","SYTL3","CD69","PTGS1","ITM2C","CD82","NFKBIZ","ARHGAP18","NR4A1","MAOB","GLUL","DAZAP2","BHLHE40","AHNAK","CD44","RNF130","ACSL4","PPP1R15A","DDIT4","LITAF","RGS13","TNFAIP3","SERPINB1","TAGLN2","FXYD5","CD37","TSC22D1","PLIN2"
"mye_15","IGKC","ARPC4","PRELID1","HLA.DPB1","HLA.DRA","IGHA1","COTL1","NDUFA13","LST1","CORO1A","BLOC1S1","ARPC1B","HLA.DPA1","CHCHD10","C4orf48","HLA.DRB1","PSMA1","AIF1","TYMP","HLA.DQA1","HLA.DQB1","CD74","HLA.DMA","CEBPD","YWHAH","LSP1","EFHD2","HLA.DMB","PSMA4","ARF6","LYZ","PYCARD","CTSS","FAM49B","ARPC5","CYBA","POMP","VAMP8","CLTB","SPI1","MS4A6A","RNASE6","ANXA2","GSTP1","CXCR4","LGALS1","COX7A2","GMFG","SEC61G","CALM2"
"mye_16","POLD4","CD38","CD151","TNIP1","LDLRAD4","IFITM1","TLN1","SLC16A3","PLPP1","PPP1R18","PAG1","ATP2A3","NBAS","TKT","SEMA4D","ZC3H12A","IDH2","KLHL6","LIMS1","ABCC1","BCL2L1","ABCC4","HERC1","HLTF","DDOST","PIGT","LHPP","FLNA","RGS16","NUCB1","CSK","PSMB10","VPS13A","FHL3","JAZF1","PHB2","GM2A","SIL1","DHRS4","TMBIM1","EPAS1","ACP5","TMED3","NEDD9","SEC61A1","PGD","GUSB","CORO1A","NCF4","AHR"
"mye_17","CRIP1","DUSP2","NFKB1","EZR","IL2RG","TSPYL2","RELB","CSRNP1","TIPARP","UBE2S","RGCC","DNAJB1","PIM3","BAG3","STK17A","TUBB4B","ERN1","IFITM1","SERTAD1","CYTIP","BRD2","TRAPPC5","KDM6B","SKIL","CDKN1A","CXCR4","ZFAND2A","IRF1","AREG","PDE4B","SMAP2","ODC1","ADGRE5","EPC1","NR4A3","REL","SNHG7","DDX24","ZNF331","ARL4A","MAFF","NR4A1","CREM","MYADM","RBBP6","MAP3K8","CD83","ARID4B","RAB11FIP1","CHORDC1"
"mye_18","RAB42","IFIT3","GBP2","ALAS1","APOBEC3G","DTNBP1","OAS1","TAPBPL","SLAMF7","CD300LF","NADK","SEPHS2","APOL2","ADPRHL2","GBP5","EDEM2","RILP","APOL3","SLC22A18","AIFM2","AIM2","CD82","IFI35","HMGCL","ARHGAP25","P2RX4","SPHK1","NCK1","TSFM","TMEM86A","LACTB","DNPEP","DHRSX","GBP1","CD38","ZDHHC24","DRAM1","ACAA1","STXBP2","GIMAP1","DHRS4L2","ACOT13","NMI","GADD45G","SLC29A3","HVCN1","TRPV2","PARP12","UNC93B1","PCK2"
"mye_19","POLR2J3","LMO2","EHBP1L1","ZNRF2","RAP2A","ITPRIPL2","PGP","PARL","EVA1B","SLC35D2","GSR","COMMD3","URI1","CHPT1","RBM26","SLC30A1","UBE2W","CDK6","KLF13","ZNF787","MOB1B","EXOSC6","ARID1B","PTPRA","SLC15A4","LYSMD2","ALYREF","MDM4","MDFIC","ZFPM1","XIAP","CCNY","SLC33A1","C1orf56","NRIP1","MXD4","DNAJC21","HEBP2","SMURF2","MGAT4B","PIP4K2A","RAB21","EMG1","PIAS2","TFF3","ADNP","ZNF518A","DTX3L","OSGIN2","BRD7"
"mye_20","NME1","PGP","MZT2A","MARCKSL1","S100B","NAA10","TOMM40","CRELD2","PARL","STMN1","KRT10","SNRNP25","NDUFA9","NPM3","TXNL4A","EEF1E1","CNPY2","GCSH","EBP","EBPL","CLTB","EMG1","NDRG2","PKIB","ODC1","FAM207A","HES4","CKS1B","CTNNBIP1","MMP12","HRAS","ITGB7","CCDC167","CAMK1","UBE2S","HEBP2","SLC39A3","CARHSP1","ANKRD39","DTYMK","MCUR1","MSRB2","SLBP","NASP","NDUFA7","C1orf122","NOP56","COMMD3","AXL","PPIF"
"mye_21","TYMS","MCM7","CLSPN","TK1","UHRF1","CENPU","ZWINT","HELLS","CENPM","DHFR","GINS2","CDK1","RAD51AP1","MCM4","CENPK","TMEM106C","ATAD2","PCNA","TCF19","FEN1","ASF1B","BRCA1","MCM6","RRM2","CDT1","MAD2L1","MCM2","TOP2A","RRM1","NUSAP1","ORC6","MKI67","UBE2C","UBE2T","SHCBP1","GMNN","SMC2","FAM111B","PKMYT1","CKS1B","FAM111A","DTL","WDR76","MCM5","MYBL2","E2F1","GGH","LIG1","LMNB1","SMC4"
"mye_22","IL4I1","HAPLN3","SLAMF7","CD80","CD40","SLC2A6","MCOLN2","NFKB2","NFKB1","LAMP3","CSF2RB","DAPP1","IL2RG","ATF5","BIRC3","PIM3","GBP4","RELB","TAP1","WARS","SERPINB9","TNFAIP8","RFTN1","TNIP2","FBXO6","NUB1","CXCL9","IL7R","ETV6","TNFAIP2","UGCG","BAZ1A","CYLD","NFKBIE","CDC42SE2","FAM49A","GNPTAB","STAT1","IL21R","VOPP1","CSF2RA","KYNU","CFLAR","GPR137B","RUNX3","PTMS","ZMIZ2","TRAF1","PARP14","IDO1"
"mye_23","CD1C","CLEC10A","FCER1A","PLD4","CD1E","PKIB","NDRG2","FCGR2B","CD1D","CFP","LGALS2","SLC38A1","PLAC8","GPAT3","AXL","CST7","RNASE6","IGSF6","P2RY13","IL1R2","CLEC4A","FGL2","PPP1R14A","KCNK6","CPVL","HACD4","IL18","MS4A6A","IL1B","ADAM28","SLC8A1","HLA.DOA","ETS2","RGS18","FGR","ABI3","PHACTR1","CSF1R","CEACAM4","MARCH1","ZNF385A","CACNA2D3","CD300A","FILIP1L","SCIMP","GPRIN3","PON2","MNDA","HLA.DQB2","PTAFR"
"mye_24","CD3D","CD3E","IL32","TRBC2","CD2","CD7","CD3G","SPOCK2","ETS1","LCK","KLRB1","TRAC","RORA","FYN","IL7R","CD69","CCL5","LTB","CLEC2D","SYNE2","CD247","EVL","ITM2A","CD96","ITK","GZMA","SH2D2A","CD6","BATF","LAT","IKZF3","TIGIT","IL2RB","ACAP1","SLC38A1","OCIAD2","CTLA4","SKAP1","CST7","PRDM1","CD27","DUSP4","BCL11B","PIK3IP1","GPR171","TNFRSF18","ISG20","ZAP70","RHOH","TNFRSF4"
"mye_25","SLC38A1","S100B","TLR10","IL22RA2","SUSD3","CA2","LTB","KCNMB1","CCR6","PLD4","FAM107B","SCPEP1","PARM1","MYL9","PLAC8","CDH17","ADAM19","PPP1R14A","GPR82","PSTPIP2","DOK1","TNNI2","CD1A","CTNND1","PSTPIP1","CCNG2","NDRG2","STK17A","ASB2","AAAS","ZNF385A","HSH2D","CYFIP2","GEM","TMEM97","HHEX","GNGT2","CDKN2D","OCIAD2","PIK3R6","FLT3","IDO1","C15orf48","DSE","AFF3","REPIN1","IMPA2","IL18","CBFA2T3","APBB1IP"
"mye_26","CCL20","CXCL3","IL1RN","G0S2","EREG","C15orf48","NFKB1","CCL3","CXCL2","CTSL","CCL4","CCL4L2","TNFAIP8","PHLDA1","INHBA","PTGS2","RGCC","SERPINB9","IL1B","ABL2","PHLDA2","MARCKSL1","PIM3","EHD1","CD83","CXCL8","KYNU","ATP13A3","CREM","PMAIP1","SEC61G","CFLAR","ANXA5","IL1A","ID2","ICAM1","NR4A3","FNIP2","IL6","MIR155HG","INSIG1","PPIF","STX11","ATP2B1","THAP2","CSTB","PKM","BCL2A1","TNIP1","DUSP2"
"mye_32","TNFSF13","COX16","POLD4","MAN2B1","MRPL4","NOP16","PSMB10","MRC1","RAB24","PNP","CD151","C1QBP","SDF2L1","ENG","KCNN4","PARVB","FCN1","CSRP1","IGFLR1","CCT7","EXOSC5","EIF4EBP1","TIMM23","MRPS12","POLR2E","DHRS4","WDR18","YIF1B","MKKS","IMP4","ALG3","PSMD9","IMPDH2","SIGLEC9","CISD3","C17orf49","ANPEP","CLEC5A","CCT5","SLC25A39","DPM2","UCK2","TMEM109","MRPS35","FBP1","ITPA","SNRPD1","MRPS15","HYOU1","ADSL"
"mye_33","FCN1","CFP","VCAN","S100A12","NUP214","CD300E","CLEC12A","AGTRAP","C19orf38","FGR","LTA4H","LIMD2","CDA","SLC7A7","PLAC8","PRAM1","LILRA2","GIMAP4","LILRA5","MPEG1","CD302","PLBD1","LYST","CSF3R","CD36","ICAM3","APOBEC3A","UBXN11","ASGR1","LGALS2","NUDT16","LRP1","PGD","RBP7","SULT1A1","THBS1","LRRK2","MEGF9","MYO1F","HRH2","AHNAK","CCDC69","POU2F2","PLP2","SELL","MYO1G","LILRB2","SELPLG","STX10","BIN2"
"mye_35","TPSAB1","TPSB2","CPA3","MS4A2","HPGDS","LTC4S","CLU","SLC18A2","VWA5A","SOCS1","GATA2","KIT","CD69","HPGD","SAMSN1","ITM2A","RGS13","MAOB","CD52","CD9","CTSG","IL1RL1","C4orf48","HDC","GRAP2","TNFSF10","BACE2","CNRIP1","BIRC3","ALDH1A1","LAT","LYL1","IGKC","TSC22D1","RHOH","RAB32","CKLF","PTGS2","TIMP1","FCER1A","ACOT7","CD48","ACSL4","SLC26A2","AKAP12","NDUFA13","PSMA1","TMEM176B","GMPR","CYBA"
"mye_41","TREM2","APOC1","GPNMB","GCHFR","APOE","CYP27A1","SPP1","HSD3B7","RGCC","MGST1","SDC2","CD9","FABP5","IFIT3","FBP1","LPL","AQP9","OAS1","MSR1","MFSD12","MATK","NPL","OTOA","CCL7","PDXK","CHCHD10","CCL2","SCCPDH","IFI6","CHI3L1","FAM20C","EMP1","PLA2G7","GM2A","MX1","GLIPR2","CYSTM1","ACOT13","SLC38A6","FNIP2","HAMP","ISG15","MGLL","SOAT1","SDS","IFIT1","TMEM70","PHLDA1","A2M","TFPT"
"mye_42","F13A1","FOLR2","C1QA","C1QB","C1QC","STAB1","A2M","LTC4S","MRC1","RNASE1","PLTP","SLC40A1","CD163","VSIG4","MSR1","SLCO2B1","MS4A6A","NR4A1","LYVE1","KLF4","GPR34","DAB2","MS4A4A","EGR1","FILIP1L","CSF1R","MAFB","CD302","MEF2C","GAS6","LGMN","MS4A7","NR4A2","EMB","CEBPD","KCTD12","TCF4","KLF2","MAF","RHOB","FRMD4B","ATF3","C5AR1","CCL4L2","PDK4","FCGRT","ZFHX3","NRP2","CXCL2","HLA.DMA"
"mye_43","BNIP3","SPP1","SLAMF9","CXCL5","ERO1A","SDC2","MMP9","MMP14","INHBA","ENO2","P4HA1","HK2","NDRG1","CLEC5A","ADM","BCAT1","AK4","SLC7A11","IL7R","IL4I1","SLC2A1","ANPEP","PDE4DIP","MMP19","FCGR2B","INSIG2","CD82","MSANTD3","CXCL1","TNFAIP6","SLC39A8","CCL20","PFKP","DUSP4","MARCO","AMPD3","TNIP1","C1orf122","PLP2","NT5E","ARID5B","SLC16A10","AQP9","HILPDA","CA12","ABCA1","CNIH4","LAT","FLT1","ADAM8"
"mye_47","FTL","FTH1","ACTB","HLA.DRA","B2M","CD74","S100A11","LGALS1","SAT1","TYROBP","HLA.DPB1","AIF1","OAZ1","HLA.DPA1","FCER1G","LYZ","C1QA","HLA.DRB1","C1QB","SH3BGRL3","CSTB","C1QC","VIM","CYBA","VAMP8","HLA.DQA1","S100A10","SRGN","CALM2","TUBA1B","GSTP1","POMP","HLA.DQB1","TXN","APOC1","TYMP","ANXA2","CAPG","LAPTM5","CD68","COX6C","DBI","ARPC5","ARHGDIB","APOE","CTSS","LST1","COTL1","COX7A2","GLUL"
"mye_48","GZMB","TSPAN13","IRF7","CLIC3","TCF4","C12orf75","ITM2C","IRF8","LILRA4","PLAC8","PLD4","SERPINF1","MZB1","BCL11A","UGCG","IRF4","SMPD3","SELL","CXCR3","APP","LILRB4","IL3RA","DERL3","JCHAIN","SLC20A1","PLP2","SPIB","MPEG1","SLC15A4","SEL1L3","SCT","MAP1A","CYB561A3","PTCRA","CLN8","RNASE6","DUSP5","CXCR4","LTB","LDLRAD4","GAS6","SOX4","CTSC","GPR183","SLC7A5","LRRC26","TPM2","DCK","THEMIS2","HLA.DRB1"
"mye_50","LYVE1","F13A1","GYPC","MRC1","RNASE1","FOLR2","EGFL7","LTC4S","THBS1","MAN1A1","ITSN1","CLEC10A","EMB","MAMDC2","MGP","IFI44L","CXCL12","EPS8","NLRP3","SLC1A3","SRGAP2","KLF4","GAS6","FCGR2B","CH25H","ZBTB16","ARHGAP24","SH3TC1","SESN1","ACSL1","PDK4","TRMT1","SIGLEC1","KLF9","TBC1D14","PLTP","RAPH1","SPTLC2","IGF1","COLEC12","SHMT1","P2RY14","GNG2","FKBP5","CR1","PER1","CXCL3","EPS15","NRROS","FILIP1L"
"mye_52","CCND1","IGFBP4","HPGDS","OLFML3","IGSF21","IL2RA","LPAR5","NFATC2","C2","IGF1","EMP2","EPB41L2","GAL3ST4","FOLR2","ANKH","GAS6","FARP1","RAB3IL1","LTC4S","DST","ST6GAL1","PLXDC1","WLS","TBC1D4","GATM","TGFBR1","FRMD4A","ENPP2","SLC7A8","BIN1","ADORA3","CD93","HOMER3","EPHX1","CD28","NBL1","ITGAV","SLC12A5","SPATS2L","UNC5B","DAAM1","EPAS1","CD163L1","CXCL12","RND3","CPEB4","FCGBP","ABCC5","TLR7","METRNL"
"mye_53","CCR7","FSCN1","LAMP3","BIRC3","MARCKSL1","CCL19","CCL22","MARCKS","LSP1","TMEM176A","TXN","HLA.DRA","CD74","HLA.DPB1","SAMSN1","RGS1","TMEM176B","HLA.DPA1","IL7R","ACTB","B2M","PNRC1","GSTP1","HLA.DQA1","ID2","FTH1","HLA.DRB1","CD83","DUSP5","TYMP","SAT1","RASSF4","LAD1","VIM","IL32","ANXA6","SYNGR2","MALAT1","BASP1","LGALS1","GRSF1","ZFAS1","FTL","HLA.DQB1","CSF2RA","IDO1","TYROBP","GSN","OAZ1","SRGN"
"mye_54","GZMB","LILRA4","TSPAN13","C12orf75","IL3RA","PLAC8","IRF4","LILRB4","TCF4","APP","SELL","CXCR3","IRF7","CLIC3","SLC7A5","SERPINF1","HLA.DRA","PLD4","ITM2C","PPP1R14A","HLA.DPB1","LDLRAD4","PLP2","SPIB","UGCG","IRF8","SEL1L3","JCHAIN","AREG","MAP1A","HLA.DPA1","MZB1","IGKC","THEMIS2","SLC15A4","SLC20A1","SCT","ALOX5AP","CYB561A3","RAB11FIP1","NR3C1","NR4A3","GAS6","BCL11A","RUBCN","SOX4","LTB","STMN1","CD2AP","LGMN"
"mye_56","NME1","MARCKSL1","CLEC5A","GNL3","NRP1","ESF1","KRT10","EEF1E1","SPRED1","ALCAM","GTPBP4","FPR3","DCAF13","SLC4A7","PRKDC","CKAP4","CCT5","C1QBP","WDR43","TXNL4A","PID1","DOCK10","RPF2","ALYREF","ARHGAP18","VCAN","DAB2","NOP56","PAICS","DHX9","URI1","DAZAP1","PUM3","REG1A","SNRPD1","NAA50","PDIA4","HNRNPR","NAA20","ENG","DNAJC21","PAPSS1","NAA15","ODC1","DYNC1I2","PTBP1","TCERG1","FAM120A","TGFBR1","HDAC2"
"mye_57","IRAK2","ZC3H12A","SLC7A5","CCL4L2","PNP","MAP2K3","TRAF1","EHD1","PLK3","SPHK1","PHLDA2","CCRL2","ELL2","MAFF","THAP2","NFKB2","IL1A","ITGA5","ZNF267","SNAI1","PDE4DIP","NFKB1","ABL2","SERTAD1","TNF","PNPLA8","TOM1","CSRNP1","INSIG1","RALGDS","AREG","ABCA1","PIM3","GPR84","BHLHE40","ETV3","SDC4","JMJD6","NLRP3","MIR155HG","ERN1","MMP19","PHLDA1","PMAIP1","BAG3","TUBB4B","DUSP5","TP53BP2","RBKS","EREG"
"mye_58","CSF3R","SELL","SMCHD1","S100A12","GCA","HCAR2","VNN2","AQP9","PELI1","TNFAIP6","TMEM154","FPR2","CMTM2","S100P","IGHA1","IGLC2","IL1R2","MX2","DDX60L","EVI2B","NCF1","APOBEC3A","PROK2","ACSL1","ICAM3","CPD","USP15","TRIB1","NABP1","ABHD5","IGHG4","LRRK2","IFITM1","SORL1","IFIT2","YPEL3","OSM","IFIT3","CDA","IGHG1","CDC42EP3","FFAR2","PHF20L1","MBOAT7","IGLC3","EHD1","XPO6","TRIM25","LIMK2","TAGAP"
"mye_59","EMP1","ECM1","MATK","LPL","CHIT1","CD109","CHI3L1","KCNN4","SPARC","SDC2","ITGB5","BHLHE41","RAI14","RASAL2","ACE","LRP12","CXCL5","NRIP3","RGCC","STEAP3","TP53I11","DCSTAMP","COL6A1","PDPN","CTSK","PSD3","SGMS2","MYO1E","ATP6V0D2","DGKH","CSF1","MSANTD3","TNS1","ANPEP","ITGB3","CXXC5","TREM1","FGFR1","AQP9","TNNT1","PDLIM4","ATP2B4","RAPH1","CD276","TTC39B","ACO1","CKAP4","CLEC5A","P4HA2","SEMA3C"
"mye_62","POLD4","HIST1H2AC","DNAJB4","RHOB","SNX29","TRAF3IP3","ANXA6","CDK5RAP3","CACYBP","ENO2","TMBIM1","TMEM109","CD68","HOXB2","SASH3","PTPN6","NCF1","RGS19","NUCB1","DAPK1","CYTH4","ARHGAP25","HIST1H1E","ACP5","RAB24","CHST12","UBE2L6","SIGLEC6","BTN3A2","RSBN1L","SAT2","MBOAT7","ARRB2","MARCH3","RGS14","TECR","APOC1","PIK3R6","CD82","CD151","DOK3","CD300A","ICAM3","BORCS6","CAMK2G","LAIR1","SELPLG","EPAS1","NT5C","POLR2E"
"mye_63","NFKB1","RELB","KDM6B","ELL2","TNFRSF9","NFKBID","MAP3K8","SKIL","ICAM1","BCL3","PLK3","BCL2A1","PIM3","CD83","NFKB2","BACE2","IFNGR2","SLC7A5","NFE2L2","NR4A3","REL","CREM","CDKN1A","VEGFA","CDC42EP3","CSRNP1","TWISTNB","GNA15","KLF10","TRAF1","RNF145","MYADM","RBBP8","IL2RG","EFHD2","DUSP10","FAM107B","DUSP2","CRLF2","TNFRSF12A","CRIP1","CSF1","ITGAV","STX11","DENND4A","COTL1","MAFF","MAP2K3","MAPK6","BHLHE40"
"mye_68","CLEC9A","IDO1","DNASE1L3","C1orf54","WDFY4","CPNE3","FLT3","SHTN1","HLA.DOB","MPEG1","TMEM14A","ICAM3","ASAP1","IRF8","RGCC","CCND1","CAMK2D","CPVL","VAC14","ASB2","SLAMF7","SLAMF8","NET1","CADM1","GYPC","ANPEP","BATF3","ACTN1","FUCA1","C20orf27","CLNK","SELPLG","CLEC7A","P2RY14","SERPINF2","NAAA","LGALS2","PTPRE","CSRP1","HDAC9","LGMN","BASP1","BCL6","FGL2","P2RY6","C1orf21","ZNF366","SIGLEC10","NAPSA","PLCD1"
"mye_71","BIRC5","MKI67","CDKN3","PTTG1","CDC20","TOP2A","CENPF","CCNB2","CCNB1","UBE2C","HMMR","TPX2","NUSAP1","GTSE1","CEP55","TROAP","PLK1","DLGAP5","TYMS","CCNA2","HMGB3","CDCA3","TK1","MAD2L1","AURKB","CKS1B","CENPA","GGH","CENPE","ASPM","CENPN","CDK1","STMN1","PRC1","RRM2","CDKN2C","CENPM","NUF2","NCAPD2","FOXM1","CKAP2","SMC4","CENPW","SHCBP1","AURKA","RACGAP1","ANLN","ZWINT","CDC25B","KPNA2"
"mye_72","CD79A","MZB1","DERL3","POU2AF1","FKBP11","JCHAIN","TNFRSF17","IGHG3","ISG20","CD27","IGHG1","PIM2","FCRL5","MS4A1","IGLC3","CD79B","TP53INP1","IGHM","VPREB3","IGLC2","SEL1L3","LTB","TPD52","IGHA1","PLPP5","ITM2C","PRDM1","IGHG2","GLCCI1","IGHG4","IGHA2","TNFRSF13C","ST6GAL1","CPNE5","ICAM3","CD38","GNG7","SDC1","KLF13","IKZF3","IGLV3.1","BIRC3","OCIAD2","PDK1","SLC38A1","MSI2","RALGPS2","TRBC2","IL32","CHPF"
"mye_73","GZMA","CD3D","CCL5","GZMB","TRBC2","CD7","IL32","CD2","GNLY","NKG7","KLRD1","CD3E","CD3G","GZMH","TRAC","PRF1","KLRB1","CD8A","CXCL13","GPR171","HOPX","CTSW","LCK","CD69","IKZF3","IFNG","CST7","CLEC2D","ETS1","CD96","ITM2A","FYN","LAG3","DUSP4","CD8B","TIGIT","TRGC2","ACAP1","ITGA1","IL2RB","RAB27A","GZMK","CD247","C12orf75","PYHIN1","STK17A","BCL11B","GZMM","CD27","MIAT"
"mye_74","TMIGD2","KIT","KLRB1","LINC00299","IL23R","IL4I1","SPOCK2","CAT","TNFRSF25","CD96","AQP3","XCL1","LST1","TXK","AFF3","KIAA1324","RORC","SCML4","LTB","PCDH9","LTA4H","TNFRSF18","RORA","TRBC2","IGFBP4","MPG","SLA","NCOA7","TNFSF13B","TOX","ADAM10","XCL2","ALDOC","LSP1","GSN","MFGE8","NCR3","CASP3","IL1R1","TLE1","CD52","CTSW","APP","TCF7","MGAT4A","PIK3IP1","AGPAT5","PRKCH","CXXC5","DHRS3"
